id,mission,disposition,label,orbital_period_days,transit_duration_hours,transit_depth_ppm,planet_radius_re,equilibrium_temp_k,insolation_flux_earth,stellar_teff_k,stellar_radius_re,apparent_mag,ra,dec
9164788,Kepler,FALSE POSITIVE,0,2.66811113,22.49,48.3,1.53,1792.0,2439.28,6593.0,1.561,13.688,295.69476,45.529202
9172506,Kepler,FALSE POSITIVE,0,50.440285363,12.2001,85309.0,51.5,673.0,48.36,6225.0,1.646,12.009,297.96613,45.545792
9179531,Kepler,FALSE POSITIVE,0,3.255385289,5.9498,158910.0,40.58,1236.0,550.68,5806.0,0.975,15.091,299.92822,45.595081
9963639,Kepler,FALSE POSITIVE,0,7.4185369,1.451,14.7,0.81,1963.0,3511.86,9763.0,2.045,11.364,296.69196,46.869171
9965691,Kepler,FALSE POSITIVE,0,15.68434493,44.463,791.6,56.23,1136.0,393.14,6407.0,2.191,13.102,297.32681,46.845211
9971475,Kepler,FALSE POSITIVE,0,5.357409918,4.28582,199160.0,124.05,1492.0,1172.13,5768.0,2.057,13.166,298.99442,46.812408
10000490,Kepler,FALSE POSITIVE,0,1.400991827,4.8798,64104.0,98.13,2468.0,8795.37,6706.0,1.924,11.244,286.556,46.95734
10014702,Kepler,FALSE POSITIVE,0,1.34062901,3.076,69.5,0.82,1678.0,1876.57,6045.0,0.955,15.13,293.12991,46.921768
10020423,Kepler,FALSE POSITIVE,0,7.448375935,4.23892,152670.0,34.37,871.0,136.18,5636.0,0.867,15.178,295.29791,46.920471
11027270,Kepler,FALSE POSITIVE,0,0.533628226,5.772,81.8,2.41,3885.0,53849.23,7163.0,2.177,11.299,290.64642,48.597092
11027722,Kepler,FALSE POSITIVE,0,0.678137665,1.00718,885.0,30.37,2274.0,6364.7,6429.0,0.942,14.291,290.90582,48.531811
11029877,Kepler,FALSE POSITIVE,0,2.069415479,5.71941,16188.0,55.45,1768.0,2310.53,6640.0,1.25,13.681,291.95267,48.568878
11071207,Kepler,FALSE POSITIVE,0,8.04963472,6.00488,279650.0,95.98,1247.0,571.1,6698.0,1.485,13.831,284.41779,48.680908
11073223,Kepler,FALSE POSITIVE,0,11.578946873,4.6373,299740.0,58.32,869.0,134.91,6028.0,1.014,15.003,285.71439,48.601822
11076279,Kepler,FALSE POSITIVE,0,1.47258471,4.76885,224010.0,123.25,2705.0,12617.53,7360.0,2.024,14.206,287.64722,48.646679
11124509,Kepler,FALSE POSITIVE,0,4.446459958,2.558,5663.8,36.15,1030.0,265.42,5615.0,0.893,14.735,284.40344,48.70808
12470530,Kepler,FALSE POSITIVE,0,8.207257515,4.23835,391300.0,46.82,650.0,42.1,4859.0,0.621,15.3,296.24603,51.369099
12504353,Kepler,FALSE POSITIVE,0,498.68845,17.88,548.3,2.44,246.0,0.87,6184.0,1.038,15.166,287.86331,51.488522
12506342,Kepler,FALSE POSITIVE,0,1.22775105,1.602,327.6,1.0,1094.0,340.64,4551.0,0.56,15.715,289.04477,51.415379
12557713,Kepler,FALSE POSITIVE,0,7.214721393,2.36464,46802.0,16.79,630.0,37.12,4705.0,0.552,14.853,291.08231,51.558361
9730163,Kepler,CONFIRMED,1,8.15275885,1.746,16536.0,2.44,305.0,2.03,3327.0,0.189,17.475,298.73611,46.498634
2437112,Kepler,FALSE POSITIVE,0,3.18740907,6.19,137.5,0.81,919.0,168.43,4808.0,0.715,16.153,290.20361,37.774342
